startup_name,industry,country,founded_year,startup_age,funding_stage,total_funding_usd,team_size,monthly_revenue_usd,annual_revenue_usd,active_users,customer_growth_rate,burn_rate,runway_months,valuation_usd,business_model,number_of_competitors,market_size_usd,market_growth_rate,founder_experience_years,previous_startups,employee_growth_rate,customer_retention_rate,profitability,startup_stage,acquisition_status,ipo_status,success_label,startup_description,website,logo_url,headquarters_city,headquarters_state,headquarters_country,funding_round_date,top_investor,competitor_1,competitor_2,competitor_3,market_trend_score,innovation_score,investor_interest_score,technology_stack,target_audience,unique_selling_proposition,startup_stage_description,employee_count_last_year,monthly_active_users_last_year,customer_acquisition_cost_usd,lifetime_value_usd
QuickRoom,Healthcare,India,2024,2,Seed,1227016.0,4.0,15456.0,185472.0,37.0,0.0625,15082.2,15.9,7178000.0,B2B,7.0,12715462408.0,0.1574,3.0,4.0,0.2495,0.5021,False,Early Traction,Not Acquired,Private,Failed,An health-wellness company offering a custom B2B fitness and preventive care ecosystem for corporate employees. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.quickroom.com,https://placehold.co/200x200?text=QuickRoom,Bengaluru,Karnataka,India,2025-04-08,Blume Ventures,PharmEasy,Cult.fit,Curefit,89,31,47,"Node.js, Express, Flutter, MongoDB, GCP, Firebase, Twilio APIs",Patients in metropolitan areas needing quick at-home diagnostic screenings.,Hyper-local home medicine delivery in under 15 minutes with automated prescription verification.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,3.0,36.0,141.23,492.86
Growbazaar,CleanTech,India,2020,6,Series B,29744459.0,71.0,243993.0,2927916.0,42015.0,0.0143,92064.07,44.7,195517000.0,Marketplace,22.0,2481678752.0,0.1839,15.0,2.0,0.0397,0.5864,False,Scaling,Not Acquired,Private,Successful,"An electric vehicle startup building a smart Marketplace battery-swapping network for commercial 3-wheelers. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.growbazaar.com,https://placehold.co/200x200?text=Growbazaar,Bengaluru,Karnataka,India,2022-09-07,Nexus Venture Partners,Yulu,Avanse,Lithium Logistics,73,48,88,"Java, C++, AWS IoT, MySQL, PostgreSQL, Docker, Redis",Manufacturing compliance departments auditing scopes of factory emissions.,Smart modular battery charging system that swap-charges commercial e-rickshaws under 2 minutes.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",66.0,38656.0,1079.71,5165.72
DhanMetrics,Fintech,India,2017,9,Series A,5426287.0,48.0,96271.0,1155252.0,55695.0,-0.0184,60588.76,27.6,21822000.0,B2C,3.0,23783172994.0,0.2555,5.0,1.0,-0.0236,0.7882,False,Scaling,Not Acquired,Private,Failed,"An innovative B2C platform simplifying digital payments and financial access for underbanked populations in India. The platform leverages proprietary algorithms to deliver premium, customizable solutions at a fraction of standard market costs.",https://www.dhanmetrics.com,https://placehold.co/200x200?text=DhanMetrics,Bengaluru,Karnataka,India,2018-04-25,Elevation Capital,Paytm,Setu,Pine Labs,32,65,32,"Go, Gin, React, MySQL, GCP, Redis, RabbitMQ, Kubernetes",Gig workers and freelance professionals in Tier-1/2 Indian cities.,Instant payment settlements with zero transaction fees for small merchants.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,45.0,36345.0,128.6,393.46
Indomandi,AI & Machine Learning,India,2019,7,Late Stage,385994444.0,710.0,3842737.0,46112844.0,2695.0,0.1244,0.0,999.0,2517093000.0,B2B,3.0,5591198609.0,0.3867,2.0,1.0,0.3754,0.8774,True,Mature,Not Acquired,Private,Successful,"A computer vision company building B2B visual inspection tools for quality assurance in logistics lines. The platform leverages proprietary algorithms to deliver premium, customizable solutions at a fraction of standard market costs.",https://www.indomandi.com,https://placehold.co/200x200?text=Indomandi,Mumbai,Maharashtra,India,2026-02-18,Tiger Global,CoRover,Gupshup,Haptik,28,25,74,"Python, TensorFlow, Flask, MongoDB, GCP, Docker, HuggingFace",Enterprise customer service divisions wishing to automate voice operations.,Real-time conversational voice AI engine fine-tuned to capture 12 major Indian accents.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",654.0,2218.0,1510.71,4612.31
PulseCare,Logistics,India,2025,1,Seed,793015.0,8.0,21155.0,253860.0,370.0,0.1178,16636.7,7.9,3227000.0,SaaS,7.0,11780060393.0,0.2653,16.0,1.0,0.3127,0.6288,False,Ideation,Not Acquired,Private,Failed,"A freight logistics startup providing an on-demand SaaS marketplace matching shippers with empty container trucks. The platform leverages proprietary algorithms to deliver premium, customizable solutions at a fraction of standard market costs.",https://www.pulsecare.com,https://placehold.co/200x200?text=PulseCare,Bengaluru,Karnataka,India,2026-03-12,Kalaari Capital,Shadowfax,Rivigo,Porter,29,97,50,"Java, Python, PostgreSQL, AWS IoT, Apache Kafka, Docker, Kubernetes, Google Maps",Pharmaceutical companies shipping temperature-sensitive vaccine vials.,IoT-connected temperature tracking label designed for pharmaceutical supply chains.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,7.0,230.0,256.2,998.77
Aquakart,Proptech,India,2020,6,Late Stage,391088834.0,543.0,6639658.0,79675896.0,491463.0,0.2459,0.0,999.0,2700613000.0,SaaS,7.0,3316119133.0,0.123,14.0,4.0,0.854,0.8615,True,Mature,Not Acquired,Private,Successful,"A real estate platform digitizing SaaS commercial property leasing and tenant compliance workflows. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.aquakart.com,https://placehold.co/200x200?text=Aquakart,Mumbai,Maharashtra,India,2025-11-23,Steadview Capital,Magicbricks,Housing.com,99acres,27,49,62,"Next.js, Python, FastAPI, PostgreSQL, GCP, Elasticsearch, Docker",Individual landlords tracking rents and tenants across residential buildings.,"All-in-one digital tenant onboarding, rent collection, and repairs log application.","Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",471.0,489759.0,946.75,3142.56
Flowbike,Fintech,India,2023,3,Series A,4427698.0,25.0,341799.0,4101588.0,11412.0,0.2309,0.0,999.0,19266000.0,Subscription,7.0,29883283790.0,0.1683,20.0,4.0,0.7458,0.8135,True,Scaling,Not Acquired,Private,Successful,"An innovative Subscription platform simplifying digital payments and financial access for underbanked populations in India. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.flowbike.com,https://placehold.co/200x200?text=Flowbike,Chennai,Tamil Nadu,India,2026-12-11,Peak XV Partners,BharatPe,Pine Labs,Setu,38,53,68,"Java, Spring Boot, React, PostgreSQL, AWS, Redis, Apache Kafka, Kubernetes",Retail individual investors seeking simple mutual fund and gold investments.,Unified multi-bank treasury dashboard built specifically for high-growth tech startups.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",18.0,8624.0,98.35,337.4
Primezone Fintech,SaaS,India,2020,6,Series B,13001431.0,57.0,247287.0,2967444.0,219338.0,0.0402,31548.39,27.9,80976000.0,B2C,1.0,8297622295.0,0.197,6.0,3.0,0.0553,0.6167,False,Scaling,Not Acquired,Private,Failed,"A collaborative no-code B2C spreadsheet platform designed specifically for remote product and design teams. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.primezonefintech.com,https://placehold.co/200x200?text=Primezone%20Fintech,Gurugram,Haryana,India,2025-10-13,Matrix Partners India,WebEngage,Zoho,CleverTap,83,31,13,"Node.js, Express, React, MongoDB, AWS, Redis, Docker, GitHub Actions",Software engineering and DevOps teams in high-growth technology companies.,Advanced no-code workflow automations that sync legacy databases to modern cloud channels.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,46.0,205941.0,210.28,671.52
UdyogStack,Proptech,India,2019,7,Series A,4842574.0,35.0,74004.0,888048.0,952.0,0.0191,93632.38,22.1,28553000.0,SaaS,8.0,1761298953.0,0.1731,12.0,3.0,0.0838,0.6279,False,Scaling,Not Acquired,Private,Failed,"A real estate platform digitizing SaaS commercial property leasing and tenant compliance workflows. The platform leverages proprietary algorithms to deliver premium, customizable solutions at a fraction of standard market costs.",https://www.udyogstack.com,https://placehold.co/200x200?text=UdyogStack,Pune,Maharashtra,India,2021-07-20,Nexus Venture Partners,Stanza Living,99acres,Magicpin,21,34,53,"Flutter, Node.js, Express, MySQL, AWS, Google Places API",Individual landlords tracking rents and tenants across residential buildings.,Immersive 3D virtual property viewing engine built for high-end commercial spaces.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,29.0,642.0,427.75,1320.42
SolarScale,Healthcare,India,2020,6,Series B,22107837.0,162.0,1854980.0,22259760.0,283651.0,0.1774,0.0,999.0,128666000.0,Marketplace,23.0,20040097832.0,0.2315,17.0,2.0,0.5753,0.7501,True,Scaling,Not Acquired,Private,Successful,A diagnostic-tech company leveraging Marketplace distribution to deliver rapid pathology lab tests directly to homes. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.solarscale.com,https://placehold.co/200x200?text=SolarScale,Bengaluru,Karnataka,India,2023-08-01,Nexus Venture Partners,HealthifyMe,Medika,PharmEasy,84,33,100,"Node.js, Express, Flutter, MongoDB, GCP, Firebase, Twilio APIs",Independent doctors and clinical groups wanting to digitize their prescription cards.,"An integrated digital health wallet combining health records, insurance, and doctor chats.","Growing market share, expanding engineering and sales teams, and scaling system servers.",132.0,213366.0,48.72,236.03
