"id","name","investment_firm","investor_type","firm_logo","short_description","investment_thesis","preferred_industries","preferred_startup_stages","preferred_funding_stages","preferred_business_models","preferred_locations","min_investment_amount","max_investment_amount","typical_check_size","portfolio_size","portfolio_companies","successful_exits","total_investments","website","linkedin","contact_email","application_url","verified","active","created_at","updated_at","about_details","banner_image","office_photo","portfolio_companies_json","recent_investments_json","representative_photo","team_members_json"
"1","Sudarshan Group","Sudarshan Group","Early-Stage VC","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=150&auto=format&fit=crop&q=60","Leading institutional VC backing sector-defining startups in the Healthcare space.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like Healthcare and CleanTech. We invest in category-defining companies with high capital efficiency.","[""Healthcare"", ""CleanTech"", ""Proptech""]","[""Scaling"", ""Idea"", ""Prototype"", ""MVP""]","[""Series A"", ""Late Stage"", ""Series B"", ""Pre-Series A"", ""Pre-Seed""]","[""Transactional"", ""Subscription"", ""SaaS""]","[""Pune"", ""Chennai""]","408000.0","5900000.0","2783000.0","62","MandiGo, SolarFlow, YatraIq, DesiZone, ByteShow, KhataMind, BijliPay","5","74","https://www.sudarshangroup.vc","https://www.linkedin.com/company/sudarshangroup","info@sudarshangroup.vc","https://www.sudarshangroup.vc/apply","true","true","2024-03-17 18:31:29","2024-05-21 18:31:29","### About Sudarshan Group

Sudarshan Group is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Healthcare**, **CleanTech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.sudarshangroup.vc/apply.","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=600&auto=format&fit=crop&q=80","[{""name"": ""MandiGo"", ""logo"": ""https://logo.clearbit.com/mandigo.com"", ""sector"": ""Proptech"", ""stage"": ""Series B""}, {""name"": ""SolarFlow"", ""logo"": ""https://logo.clearbit.com/solarflow.com"", ""sector"": ""Proptech"", ""stage"": ""Pre-Seed""}, {""name"": ""YatraIq"", ""logo"": ""https://logo.clearbit.com/yatraiq.com"", ""sector"": ""CleanTech"", ""stage"": ""Pre-Seed""}]","[{""company_name"": ""NovaPay"", ""amount"": 2277000.0, ""date"": ""2026-03-07"", ""stage"": ""Series B""}, {""company_name"": ""DukaanLy"", ""amount"": 2486000.0, ""date"": ""2026-05-11"", ""stage"": ""Pre-Series A""}]","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=400&auto=format&fit=crop&q=80","[{""name"": ""Rahul Shergill"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/sudarshangroup""}, {""name"": ""Meera Dhillon"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/meera-dhillon""}, {""name"": ""Karan Prasad"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/karan-prasad""}]"
"2","Lead Angel Studio","Lead Angel Studio","Micro VC","https://images.unsplash.com/photo-1620641788421-7a1c342ea42e?w=150&auto=format&fit=crop&q=60","Leading institutional VC backing sector-defining startups in the Cybersecurity space.","We invest in double-bottom-line startups addressing systemic gaps in Cybersecurity and Healthcare. We look for high social/environmental impact combined with commercially viable models.","[""Cybersecurity"", ""Healthcare"", ""CleanTech"", ""HRTech"", ""Consumer Internet"", ""Climate Tech""]","[""Early Traction"", ""Growth"", ""Scaling"", ""Idea""]","[""Pre-Series A"", ""Seed"", ""Series C"", ""Series B""]","[""D2C"", ""Transactional"", ""B2B2C"", ""Marketplace"", ""SaaS""]","[""Delhi NCR"", ""Gurugram""]","82000.0","1220000.0","416000.0","72","KhataDhan, HyperBazaar, LinkTrip, GridPay","1","98","https://www.leadangelstudio.vc","https://www.linkedin.com/company/leadangelstudio","info@leadangelstudio.vc","https://www.leadangelstudio.vc/apply","true","true","2025-09-11 18:31:29","2025-11-09 18:31:29","### About Lead Angel Studio

Lead Angel Studio is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Cybersecurity**, **Healthcare** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.leadangelstudio.vc/apply.","https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366216548-37526070297c?w=600&auto=format&fit=crop&q=80","[{""name"": ""KhataDhan"", ""logo"": ""https://logo.clearbit.com/khatadhan.com"", ""sector"": ""HRTech"", ""stage"": ""Series B""}, {""name"": ""HyperBazaar"", ""logo"": ""https://logo.clearbit.com/hyperbazaar.com"", ""sector"": ""Consumer Internet"", ""stage"": ""Series B""}, {""name"": ""LinkTrip"", ""logo"": ""https://logo.clearbit.com/linktrip.com"", ""sector"": ""Consumer Internet"", ""stage"": ""Series C""}]","[{""company_name"": ""LinkZone"", ""amount"": 352000.0, ""date"": ""2025-09-30"", ""stage"": ""Series C""}, {""company_name"": ""SaaSStack"", ""amount"": 389000.0, ""date"": ""2026-02-01"", ""stage"": ""Series B""}]","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&auto=format&fit=crop&q=80","[{""name"": ""Meera Rao"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/leadangelstudio""}, {""name"": ""Meera Sharma"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/meera-sharma""}]"
"3","Floodgate Labs","Floodgate Labs","Corporate VC (CVC)","https://images.unsplash.com/photo-1626908013351-800ddd734b8a?w=150&auto=format&fit=crop&q=60","Private family office investing in mid-to-late stage technology leaders in SaaS.","We are a stage-agnostic fund investing in market leaders in SaaS and Proptech. We prioritize sustainable business models, solid unit economics, and experienced execution teams.","[""SaaS"", ""Proptech"", ""HRTech"", ""Healthcare""]","[""Growth"", ""Early Traction""]","[""Pre-Series A"", ""Seed""]","[""Freemium"", ""SaaS"", ""B2B2C"", ""D2C"", ""Subscription""]","[""Pune"", ""Gurugram"", ""Kochi""]","3396000.0","53970000.0","11155000.0","38","BioMetrics, EduRoom, KhataCare, SwasthPay, LogiKart, FlowShow","6","68","https://www.floodgatelabs.com","https://www.linkedin.com/company/floodgatelabs","info@floodgatelabs.com","https://www.floodgatelabs.com/apply","true","true","2024-05-13 18:31:29","2024-07-08 18:31:29","### About Floodgate Labs

Floodgate Labs is a leading early/growth stage investor focusing on tech enablement. We backing startups in **SaaS**, **Proptech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.floodgatelabs.com/apply.","https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""BioMetrics"", ""logo"": ""https://logo.clearbit.com/biometrics.com"", ""sector"": ""Proptech"", ""stage"": ""Pre-Series A""}, {""name"": ""EduRoom"", ""logo"": ""https://logo.clearbit.com/eduroom.com"", ""sector"": ""SaaS"", ""stage"": ""Pre-Series A""}, {""name"": ""KhataCare"", ""logo"": ""https://logo.clearbit.com/khatacare.com"", ""sector"": ""SaaS"", ""stage"": ""Pre-Series A""}]","[{""company_name"": ""DesiLy"", ""amount"": 10398000.0, ""date"": ""2025-10-11"", ""stage"": ""Pre-Series A""}, {""company_name"": ""GrowLabs"", ""amount"": 11090000.0, ""date"": ""2025-09-28"", ""stage"": ""Pre-Series A""}]","https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=400&auto=format&fit=crop&q=80","[{""name"": ""Mehak Patel"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/floodgatelabs""}, {""name"": ""Ashish Tandon"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/ashish-tandon""}, {""name"": ""Sameer Goel"", ""role"": ""Partner"", ""linkedin"": ""https://www.linkedin.com/in/sameer-goel""}]"
"4","Unicorn Fund","Unicorn Fund","Institutional VC","https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=150&auto=format&fit=crop&q=60","Micro VC fund partnering with founders at the idea and prototype stage in Agritech and E-commerce.","We invest in double-bottom-line startups addressing systemic gaps in Agritech and E-commerce. We look for high social/environmental impact combined with commercially viable models.","[""Agritech"", ""E-commerce"", ""SaaS"", ""Creator Economy"", ""Enterprise Software"", ""Fintech""]","[""Prototype"", ""Growth""]","[""Late Stage"", ""Series A"", ""Seed"", ""Growth"", ""Pre-Seed""]","[""Transactional"", ""B2B"", ""Marketplace""]","[""Ahmedabad"", ""Hyderabad"", ""Kolkata""]","976000.0","25190000.0","6746000.0","222","CredDukaan, KrishiDesk, PulseShow, KrishiZone, ShipPe","21","252","https://www.unicornfund.vc","https://www.linkedin.com/company/unicornfund","info@unicornfund.vc","https://www.unicornfund.vc/apply","true","true","2025-09-05 18:31:29","2025-11-14 18:31:29","### About Unicorn Fund

Unicorn Fund is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Agritech**, **E-commerce** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.unicornfund.vc/apply.","https://images.unsplash.com/photo-1557683316-973673baf926?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1531973576160-7125cd663d86?w=600&auto=format&fit=crop&q=80","[{""name"": ""CredDukaan"", ""logo"": ""https://logo.clearbit.com/creddukaan.com"", ""sector"": ""Agritech"", ""stage"": ""Pre-Seed""}, {""name"": ""KrishiDesk"", ""logo"": ""https://logo.clearbit.com/krishidesk.com"", ""sector"": ""Creator Economy"", ""stage"": ""Pre-Seed""}, {""name"": ""PulseShow"", ""logo"": ""https://logo.clearbit.com/pulseshow.com"", ""sector"": ""Enterprise Software"", ""stage"": ""Series A""}]","[{""company_name"": ""DataPay"", ""amount"": 7694000.0, ""date"": ""2026-05-27"", ""stage"": ""Pre-Seed""}, {""company_name"": ""BazaarLabs"", ""amount"": 7722000.0, ""date"": ""2025-12-07"", ""stage"": ""Late Stage""}]","https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=400&auto=format&fit=crop&q=80","[{""name"": ""Kriti Mann"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/unicornfund""}, {""name"": ""Ketan Sodhi"", ""role"": ""Partner"", ""linkedin"": ""https://www.linkedin.com/in/ketan-sodhi""}]"
"5","Nikhil Jain","Independent","Angel Investor","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=150&auto=format&fit=crop&q=60","Micro VC fund partnering with founders at the idea and prototype stage in E-commerce and Healthcare.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like E-commerce and Healthcare. We invest in category-defining companies with high capital efficiency.","[""E-commerce"", ""Healthcare"", ""Agritech"", ""CleanTech"", ""Gaming"", ""Cybersecurity"", ""AI & Machine Learning""]","[""Idea"", ""Prototype"", ""MVP""]","[""Pre-Series A"", ""Series A"", ""Series B"", ""Late Stage""]","[""B2B2C"", ""B2B"", ""Subscription"", ""D2C"", ""SaaS""]","[""Mumbai"", ""Delhi NCR"", ""Hyderabad"", ""Kochi""]","8000.0","180000.0","92000.0","9","CredFlow, ArogyaWorks, LogiDukaan, LinkStack, YatraBook, CoreFit","0","53","https://www.nikhiljain.com","https://www.linkedin.com/in/nikhil-jain","hello@nikhiljain.com","https://www.nikhiljain.com/pitch","true","true","2024-08-14 18:31:29","2024-11-07 18:31:29","### About Nikhil Jain

Nikhil Jain is a leading early/growth stage investor focusing on tech enablement. We backing startups in **E-commerce**, **Healthcare** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.nikhiljain.com/pitch.","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366216548-37526070297c?w=600&auto=format&fit=crop&q=80","[{""name"": ""CredFlow"", ""logo"": ""https://logo.clearbit.com/credflow.com"", ""sector"": ""AI & Machine Learning"", ""stage"": ""Pre-Series A""}, {""name"": ""ArogyaWorks"", ""logo"": ""https://logo.clearbit.com/arogyaworks.com"", ""sector"": ""E-commerce"", ""stage"": ""Late Stage""}, {""name"": ""LogiDukaan"", ""logo"": ""https://logo.clearbit.com/logidukaan.com"", ""sector"": ""AI & Machine Learning"", ""stage"": ""Series B""}]","[{""company_name"": ""BharatEasy"", ""amount"": 102000.0, ""date"": ""2025-08-09"", ""stage"": ""Series B""}, {""company_name"": ""RupeeZone"", ""amount"": 90000.0, ""date"": ""2025-11-25"", ""stage"": ""Pre-Series A""}]","https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400&auto=format&fit=crop&q=80","[{""name"": ""Nikhil Jain"", ""role"": ""Investor"", ""linkedin"": ""https://www.linkedin.com/in/nikhil-jain""}]"
"6","WaterBridge Capital Partners","WaterBridge Capital Partners","Micro VC","https://images.unsplash.com/photo-1626908013351-800ddd734b8a?w=150&auto=format&fit=crop&q=60","Private family office investing in mid-to-late stage technology leaders in D2C Brands.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like D2C Brands and Enterprise Software. We invest in category-defining companies with high capital efficiency.","[""D2C Brands"", ""Enterprise Software"", ""Agritech""]","[""Scaling"", ""Prototype"", ""Growth""]","[""Pre-Series A"", ""Series A"", ""Pre-Seed""]","[""Subscription"", ""Transactional"", ""Freemium""]","[""Kochi"", ""Pune"", ""Hyderabad"", ""Delhi NCR""]","143000.0","1470000.0","527000.0","42","CloudCare, ShikshaIfy, ByteGo, LensIfy","1","63","https://www.waterbridgecapitalpartners.vc","https://www.linkedin.com/company/waterbridgecapitalpartners","info@waterbridgecapitalpartners.vc","https://www.waterbridgecapitalpartners.vc/apply","true","true","2025-07-16 18:31:29","2025-09-06 18:31:29","### About WaterBridge Capital Partners

WaterBridge Capital Partners is a leading early/growth stage investor focusing on tech enablement. We backing startups in **D2C Brands**, **Enterprise Software** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.waterbridgecapitalpartners.vc/apply.","https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1531973576160-7125cd663d86?w=600&auto=format&fit=crop&q=80","[{""name"": ""CloudCare"", ""logo"": ""https://logo.clearbit.com/cloudcare.com"", ""sector"": ""D2C Brands"", ""stage"": ""Pre-Series A""}, {""name"": ""ShikshaIfy"", ""logo"": ""https://logo.clearbit.com/shikshaify.com"", ""sector"": ""D2C Brands"", ""stage"": ""Pre-Seed""}, {""name"": ""ByteGo"", ""logo"": ""https://logo.clearbit.com/bytego.com"", ""sector"": ""D2C Brands"", ""stage"": ""Series A""}]","[{""company_name"": ""GrowLy"", ""amount"": 436000.0, ""date"": ""2026-02-09"", ""stage"": ""Series A""}, {""company_name"": ""InnoBook"", ""amount"": 506000.0, ""date"": ""2025-09-30"", ""stage"": ""Series A""}, {""company_name"": ""IndiMoney"", ""amount"": 606000.0, ""date"": ""2026-02-18"", ""stage"": ""Pre-Series A""}]","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=400&auto=format&fit=crop&q=80","[{""name"": ""Harish Mittal"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/waterbridgecapitalpartners""}, {""name"": ""Sandeep Goel"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/sandeep-goel""}, {""name"": ""Varun Mann"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/varun-mann""}]"
"7","First Round Holdings","First Round Holdings","Family Office","https://images.unsplash.com/photo-1604871000636-074fa5117945?w=150&auto=format&fit=crop&q=60","Venture debt fund providing flexible capital solutions to scaling startups in Gaming.","We support high-growth startups in Gaming and Logistics with venture debt and flexible non-dilutive capital. We partner with founders who already have institutional VC backing.","[""Gaming"", ""Logistics"", ""B2B Marketplaces"", ""Spacetech"", ""Consumer Internet""]","[""Growth"", ""MVP"", ""Prototype""]","[""Growth"", ""Series C"", ""Series A""]","[""SaaS"", ""D2C"", ""Marketplace"", ""Freemium"", ""B2B""]","[""Hyderabad"", ""Pune"", ""Kolkata""]","372000.0","20600000.0","5822000.0","50","BioLabs, ArogyaBook, CloudIq, PulseBazaar, IntelPay, CredBook, IntelStack","5","67","https://www.firstroundholdings.vc","https://www.linkedin.com/company/firstroundholdings","info@firstroundholdings.vc","https://www.firstroundholdings.vc/apply","true","true","2024-02-24 18:31:29","2024-04-20 18:31:29","### About First Round Holdings

First Round Holdings is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Gaming**, **Logistics** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.firstroundholdings.vc/apply.","https://images.unsplash.com/photo-1557683316-973673baf926?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497215728101-856f4ea42174?w=600&auto=format&fit=crop&q=80","[{""name"": ""BioLabs"", ""logo"": ""https://logo.clearbit.com/biolabs.com"", ""sector"": ""Consumer Internet"", ""stage"": ""Series C""}, {""name"": ""ArogyaBook"", ""logo"": ""https://logo.clearbit.com/arogyabook.com"", ""sector"": ""Gaming"", ""stage"": ""Growth""}, {""name"": ""CloudIq"", ""logo"": ""https://logo.clearbit.com/cloudiq.com"", ""sector"": ""B2B Marketplaces"", ""stage"": ""Growth""}]","[{""company_name"": ""DhanKart"", ""amount"": 4765000.0, ""date"": ""2025-10-31"", ""stage"": ""Series A""}, {""company_name"": ""SaaSPay"", ""amount"": 5718000.0, ""date"": ""2025-08-13"", ""stage"": ""Series A""}]","https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400&auto=format&fit=crop&q=80","[{""name"": ""Amit Grover"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/firstroundholdings""}, {""name"": ""Aakash Johal"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/aakash-johal""}]"
"8","ADIA Labs","ADIA Labs","Family Office","https://images.unsplash.com/photo-1614850709597-25a1659779df?w=150&auto=format&fit=crop&q=60","Leading institutional VC backing sector-defining startups in the Agritech space.","We support high-growth startups in Agritech and Insurtech with venture debt and flexible non-dilutive capital. We partner with founders who already have institutional VC backing.","[""Agritech"", ""Insurtech"", ""Consumer Internet"", ""Robotics"", ""BioTech"", ""Gaming"", ""Spacetech""]","[""Early Traction"", ""Prototype"", ""Growth"", ""Scaling""]","[""Series A"", ""Growth"", ""Series C"", ""Pre-Series A""]","[""Freemium"", ""Marketplace"", ""SaaS"", ""B2B2C"", ""B2B""]","[""Hyderabad"", ""Pune"", ""Kochi"", ""Chennai""]","1225000.0","27690000.0","7361000.0","27","DhanCare, BijliWorks, DhanWorks, ArogyaPay, ApexTrip","3","77","https://www.adialabs.vc","https://www.linkedin.com/company/adialabs","info@adialabs.vc","https://www.adialabs.vc/apply","false","true","2024-07-04 18:31:29","2024-09-26 18:31:29","### About ADIA Labs

ADIA Labs is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Agritech**, **Insurtech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.adialabs.vc/apply.","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""DhanCare"", ""logo"": ""https://logo.clearbit.com/dhancare.com"", ""sector"": ""Consumer Internet"", ""stage"": ""Pre-Series A""}, {""name"": ""BijliWorks"", ""logo"": ""https://logo.clearbit.com/bijliworks.com"", ""sector"": ""Robotics"", ""stage"": ""Series A""}, {""name"": ""DhanWorks"", ""logo"": ""https://logo.clearbit.com/dhanworks.com"", ""sector"": ""Insurtech"", ""stage"": ""Pre-Series A""}]","[{""company_name"": ""SaaSDesk"", ""amount"": 8674000.0, ""date"": ""2026-06-21"", ""stage"": ""Pre-Series A""}, {""company_name"": ""CloudKart"", ""amount"": 8665000.0, ""date"": ""2026-01-30"", ""stage"": ""Pre-Series A""}, {""company_name"": ""ApexShow"", ""amount"": 8090000.0, ""date"": ""2025-09-25"", ""stage"": ""Growth""}]","https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400&auto=format&fit=crop&q=80","[{""name"": ""Vivek Reddy"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/adialabs""}, {""name"": ""Vivek Roy"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/vivek-roy""}, {""name"": ""Sunita Verma"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/sunita-verma""}]"
"9","Khosla Ventures India","Khosla Ventures India","Institutional VC","https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=150&auto=format&fit=crop&q=60","Micro VC fund partnering with founders at the idea and prototype stage in CleanTech and Robotics.","We partner early with visionary founders who are leveraging technology to solve massive problems in CleanTech and Robotics. Our goal is to provide structural support from seed to scale.","[""CleanTech"", ""Robotics"", ""Consumer Internet"", ""Enterprise Software"", ""Deeptech""]","[""Early Traction"", ""MVP"", ""Idea""]","[""Pre-Seed"", ""Series C"", ""Series B"", ""Late Stage"", ""Pre-Series A""]","[""B2C"", ""B2B"", ""Transactional""]","[""Pune"", ""Kochi""]","710000.0","24290000.0","7903000.0","173","PaisaStay, IntelMoney, FlexDukaan, ByteWorks, YatraHub","9","211","https://www.khoslaventuresindia.com","https://www.linkedin.com/company/khoslaventuresindia","info@khoslaventuresindia.com","https://www.khoslaventuresindia.com/apply","true","true","2026-01-22 18:31:29","2026-04-14 18:31:29","### About Khosla Ventures India

Khosla Ventures India is a leading early/growth stage investor focusing on tech enablement. We backing startups in **CleanTech**, **Robotics** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.khoslaventuresindia.com/apply.","https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366216548-37526070297c?w=600&auto=format&fit=crop&q=80","[{""name"": ""PaisaStay"", ""logo"": ""https://logo.clearbit.com/paisastay.com"", ""sector"": ""Consumer Internet"", ""stage"": ""Series C""}, {""name"": ""IntelMoney"", ""logo"": ""https://logo.clearbit.com/intelmoney.com"", ""sector"": ""Deeptech"", ""stage"": ""Pre-Series A""}, {""name"": ""FlexDukaan"", ""logo"": ""https://logo.clearbit.com/flexdukaan.com"", ""sector"": ""CleanTech"", ""stage"": ""Series C""}]","[{""company_name"": ""MandiDesk"", ""amount"": 6404000.0, ""date"": ""2026-01-23"", ""stage"": ""Pre-Series A""}, {""company_name"": ""LinkMind"", ""amount"": 9351000.0, ""date"": ""2025-12-10"", ""stage"": ""Series C""}, {""company_name"": ""BazaarDesk"", ""amount"": 8506000.0, ""date"": ""2025-08-14"", ""stage"": ""Series C""}]","https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=400&auto=format&fit=crop&q=80","[{""name"": ""Pranav Jain"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/khoslaventuresindia""}, {""name"": ""Yash Dutta"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/yash-dutta""}]"
"10","IVP Fund","IVP Fund","Corporate VC (CVC)","https://images.unsplash.com/photo-1614850709597-25a1659779df?w=150&auto=format&fit=crop&q=60","Micro VC fund partnering with founders at the idea and prototype stage in Insurtech and Agritech.","We support high-growth startups in Insurtech and Agritech with venture debt and flexible non-dilutive capital. We partner with founders who already have institutional VC backing.","[""Insurtech"", ""Agritech"", ""Enterprise Software"", ""Web3"", ""Robotics""]","[""Growth"", ""Scaling"", ""MVP""]","[""Series A"", ""Growth"", ""Pre-Seed"", ""Pre-Series A""]","[""Marketplace"", ""Freemium"", ""D2C"", ""Transactional""]","[""Kolkata"", ""Chennai"", ""Bengaluru"", ""Ahmedabad""]","2449000.0","90240000.0","19583000.0","24","ArogyaGo, YatraEasy, GrowMetrics, GridWorks, GrowShow, BharatBook, ShikshaPay","2","64","https://www.ivpfund.vc","https://www.linkedin.com/company/ivpfund","info@ivpfund.vc","https://www.ivpfund.vc/apply","true","true","2025-06-23 18:31:29","2025-09-18 18:31:29","### About IVP Fund

IVP Fund is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Insurtech**, **Agritech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.ivpfund.vc/apply.","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1531973576160-7125cd663d86?w=600&auto=format&fit=crop&q=80","[{""name"": ""ArogyaGo"", ""logo"": ""https://logo.clearbit.com/arogyago.com"", ""sector"": ""Agritech"", ""stage"": ""Pre-Series A""}, {""name"": ""YatraEasy"", ""logo"": ""https://logo.clearbit.com/yatraeasy.com"", ""sector"": ""Web3"", ""stage"": ""Growth""}, {""name"": ""GrowMetrics"", ""logo"": ""https://logo.clearbit.com/growmetrics.com"", ""sector"": ""Web3"", ""stage"": ""Pre-Series A""}]","[{""company_name"": ""IndiPay"", ""amount"": 17971000.0, ""date"": ""2025-12-06"", ""stage"": ""Growth""}, {""company_name"": ""LensLabs"", ""amount"": 20222000.0, ""date"": ""2025-11-01"", ""stage"": ""Pre-Seed""}, {""company_name"": ""AquaZone"", ""amount"": 19978000.0, ""date"": ""2026-01-02"", ""stage"": ""Pre-Series A""}]","https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400&auto=format&fit=crop&q=80","[{""name"": ""Amit Kapoor"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/ivpfund""}, {""name"": ""Pooja Sen"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/pooja-sen""}, {""name"": ""Sanjay Mann"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/sanjay-mann""}]"
